A_Count	B_Count	C_Count	D_Count	Pearson_Corrected	Fisher	Logistic_LRT	Logistic_Wald
1	6855	10096	1734285348	2.128574E-02	3.912923E-02	3.346067E-02	1.278161E-03
2	6854	10096	1734285348	2.714943E-13	7.756931E-04	6.127091E-04	3.119030E-08
3	6853	10096	1734285348	7.779044E-35	1.028541E-05	7.750435E-06	7.435144E-14
4	6852	10096	1734285348	3.547745E-67	1.024153E-07	7.466846E-08	3.218447E-20
5	6851	10096	1734285348	2.378377E-110	8.163524E-10	5.803885E-10	3.579541E-27
6	6850	10096	1734285348	2.281347E-164	5.424358E-12	3.779409E-12	1.279824E-34
7	6849	10096	1734285348	3.100895E-229	3.090003E-14	2.117127E-14	1.722056E-42
8	6848	10096	1734285348	5.958956E-305	1.540375E-16	1.040403E-16	9.805499E-51
9	6847	10096	1734285348	0.000000E+00	6.826047E-19	4.553487E-19	2.587864E-59
10	6846	10096	1734285348	0.000000E+00	2.722510E-21	1.796297E-21	3.404753E-68
11	6845	10096	1734285348	0.000000E+00	9.871422E-24	6.449603E-24	2.370407E-77
12	6844	10096	1734285348	0.000000E+00	3.280988E-26	2.124780E-26	9.179443E-87
13	6843	10096	1734285348	0.000000E+00	1.006606E-28	6.466556E-29	2.062819E-96
14	6842	10096	1734285348	0.000000E+00	2.867647E-31	1.828649E-31	2.789894E-106
15	6841	10096	1734285348	0.000000E+00	7.624623E-34	4.829061E-34	2.344090E-116
16	6840	10096	1734285348	0.000000E+00	1.900511E-36	1.196102E-36	1.258144E-126
17	6839	10096	1734285348	0.000000E+00	4.458380E-39	2.789449E-39	4.421689E-137
18	6838	10096	1734285348	0.000000E+00	9.877467E-42	6.146022E-42	1.040235E-147
19	6837	10096	1734285348	0.000000E+00	2.073104E-44	1.283271E-44	1.670986E-158
20	6836	10096	1734285348	0.000000E+00	4.133335E-47	2.546119E-47	1.865947E-169
