A_Count	B_Count	C_Count	D_Count	Pearson_Corrected	Fisher	Logistic_LRT	Logistic_Wald
1	499	9995	989505	1.157330E-01	7.078326E-02	2.826642E-02	1.061404E-01
2	498	9995	989505	2.612507E-01	2.555601E-01	1.251165E-01	1.930394E-01
3	497	9995	989505	5.003205E-01	5.005813E-01	3.315813E-01	3.740316E-01
4	496	9995	989505	8.223093E-01	8.236049E-01	6.415126E-01	6.538439E-01
5	495	9995	989505	1.000000E+00	1.000000E+00	1.000000E+00	1.000000E+00
6	494	9995	989505	8.223266E-01	6.476008E-01	6.631004E-01	6.536507E-01
7	493	9995	989505	5.004053E-01	3.604271E-01	3.967024E-01	3.711652E-01
8	492	9995	989505	2.613923E-01	1.720952E-01	2.150100E-01	1.818049E-01
9	491	9995	989505	1.158773E-01	1.068456E-01	1.061279E-01	7.660263E-02
10	490	9995	989505	4.322997E-02	3.770128E-02	4.796834E-02	2.776532E-02
11	489	9995	989505	1.348858E-02	1.981684E-02	1.995932E-02	8.673415E-03
12	488	9995	989505	3.503927E-03	5.223921E-03	7.683659E-03	2.342012E-03
13	487	9995	989505	7.552072E-04	1.907834E-03	2.749252E-03	5.485970E-04
14	486	9995	989505	1.347026E-04	6.494360E-04	9.181257E-04	1.119122E-04
15	485	9995	989505	1.984379E-05	2.068696E-04	2.872638E-04	1.996237E-05
16	484	9995	989505	2.410705E-06	6.188344E-05	8.449832E-05	3.126183E-06
17	483	9995	989505	2.412185E-07	1.744124E-05	2.344029E-05	4.315338E-07
18	482	9995	989505	1.986136E-08	4.644986E-06	6.149814E-06	5.271071E-08
19	481	9995	989505	1.344641E-09	1.172086E-06	1.529931E-06	5.718687E-09
20	480	9995	989505	7.480559E-11	2.809086E-07	3.617615E-07	5.530647E-10
